Date/Time,Seed I/O 1 - Indoor RH 1 Z3 (%),Seed I/O 1 - Indoor Temp 1 Z3 (°F),Seed I/O 1 - GH #3 PAR (PAR),Seed I/O 1 - Unit Heater,Seed I/O 1 - HAF Fans,Seed I/O 1 - Shutters Open,Seed I/O 1 - Roof Vent,Greenhouse #3 - Zone Temperature (°F),Greenhouse #3 - Zone Relative Humidity (%),Greenhouse #3 - Heating Setpoint (°F),Greenhouse #3 - Cooling Setpoint (°F),Greenhouse #3 - Rel Humidity Setpoint (%),
4/12/2019 07:00,93.91,58.63,67.51,0,60,0,0,58.63,93.91,58,78,60,
4/12/2019 07:15,81.22,65.91,47,0,60,0,0,65.91,81.22,63.44,78,52.22,
4/12/2019 07:30,83.7,66.68,73.69,34,60,0,0,66.69,83.7,65,78,50,
4/12/2019 07:45,79.61,66.76,93,0,59,0,0,66.77,79.61,65,78,50,
4/12/2019 08:00,83.26,65.55,92.06,0,60,0,0,65.55,83.26,65,78,50,
4/12/2019 08:15,84.77,65.16,86.85,0,60,0,0,65.16,84.77,65,78,50,
4/12/2019 08:30,84.68,65.04,80.96,0,60,0,0,65.05,84.68,65,78,50,
4/12/2019 08:45,85.34,65,89.66,0,59,0,0,65,85.34,65,78,50,
4/12/2019 09:00,84.79,65.3,94.5,0,60,0,0,65.3,84.79,65,78,50,
4/12/2019 09:15,82.12,66.52,306.77,0,60,0,0,66.52,82.12,65,78,50,
4/12/2019 09:30,81.29,67.25,328.23,0,59,0,0,67.26,81.29,65,78,50,
4/12/2019 09:45,78.65,67.91,363.79,0,60,0,0,67.91,78.65,65,78,50,
4/12/2019 10:00,78.14,68.17,366.53,0,60,0,0,68.17,78.14,65,78,50,
4/12/2019 10:15,75.37,68.96,365.44,0,60,0,0,68.96,75.37,65,78,50,
4/12/2019 10:30,73.87,69.44,390.18,0,59,0,0,69.44,73.87,65,78,50,
4/12/2019 10:45,73.9,69.84,377.44,0,59,0,0,69.84,73.9,65,78,50,
4/12/2019 11:00,72.6,70.4,390.67,0,59,0,0,70.4,72.6,65,78,50,
4/12/2019 11:15,73.49,70.79,399.59,0,60,0,0,70.79,73.5,65,78,50,
4/12/2019 11:30,71.94,71.59,453.93,0,60,0,0,71.59,71.94,65,78,50,
4/12/2019 11:45,71.67,72.28,427.3,0,60,0,0,72.28,71.67,65,78,50,
4/12/2019 12:00,73.42,72.62,411.63,0,60,0,0,72.62,73.42,65,78,50,
4/12/2019 12:15,74.57,71.91,389.72,0,60,0,0,71.91,74.57,65,78,50,
4/12/2019 12:30,73.45,72.77,496.85,0,60,0,0,72.77,73.45,65,78,50,
4/12/2019 12:45,68.8,75.63,558.3,0,60,0,0,75.63,68.8,65,78,50,
4/12/2019 13:00,66.98,76.42,461.39,0,60,0,0,76.43,66.99,65,78,50,
4/12/2019 13:15,67.85,76.66,456.16,0,60,0,0,76.66,67.85,65,78,50,
